Version,Runtime Preanalysis in s,Runtime IncLing in s,Runtime total,Configurations,Newly Calcualted Configurations,Efficiency
model00001.xml,0.064,2.001,2.065,6,6,2.9056
model00002.xml,0.09,2,2.09,11,5,5.2632
model00003.xml,0.118,2.001,2.119,14,3,6.6069
model00004.xml,0.14,4.001,4.141,21,7,5.0712
model00005.xml,0.281,2.001,2.282,18,4,7.8878
model00006.xml,0.225,4,4.225,25,7,5.9172
model00007.xml,0.497,6.001,6.498,56,32,8.618
model00008.xml,0.812,8.001,8.813,68,12,7.7159
model00009.xml,1.131,8.001,9.132,65,9,7.1178
