Version,Runtime Preanalysis in s,Runtime IncLing in s,Runtime total,Configurations,Newly Calcualted Configurations,Efficiency
model00001.xml,0.061,2,2.061,6,6,2.9112
model00002.xml,0.093,2.001,2.094,11,5,5.2531
model00003.xml,0.123,2.001,2.124,14,3,6.5913
model00004.xml,0.139,4,4.139,21,7,5.0737
model00005.xml,0.297,2.001,2.298,18,4,7.8329
model00006.xml,0.235,4,4.235,25,7,5.9032
model00007.xml,0.468,6.001,6.469,56,32,8.6567
model00008.xml,0.774,8,8.774,68,12,7.7502
model00009.xml,1.062,8.001,9.063,65,9,7.172
