Name,Duration,Total Conf,Newly Calculated,Efficiency total Conf,Efficiency Newly Calculated Conf ,
model00001.xml,0.149,57.01,57.159,399,399,6.9805280008
model00002.xml,5.487,2250.361,2255.848,4560,4560,2.0214127902
model00003.xml,47.063,2227.372,2274.435,4563,4563,2.0062125319
model00004.xml,41.994,2125.311,2167.305,4568,4519,2.1076867354
model00005.xml,56.275,504.068,560.343,4539,1092,8.1003956505
model00006.xml,39.099,2211.35,2250.449,4542,4542,2.0182639109
model00007.xml,46.634,28809.768,28856.402,8155,7923,0.2826062653
model00008.xml,75.669,3143.649,3219.318,4975,4975,1.5453583647
model00009.xml,42.289,3864.63,3906.919,6392,6392,1.6360717998
model00010.xml,69.571,3568.556,3638.127,6245,6245,1.7165426056
Total,354.659,45193.519,45548.178,42693,38965,26.6985360496
