Version;Runtime pre Analysis in s;Runtime IncLing in s; Runtime total; Configurations; Newly Calculated Configurations; Efficiency
model0001.xml;0.169;36.006;36.175;239;239;6.606772633033864
model0002.xml;5.6;28.003;33.603;164;164;4.880516620539833
model0003.xml;3.661;24.003;27.664;133;133;4.8076923076923075
model0004.xml;2.748;28.003;30.751;188;188;6.113622321225326
model0005.xml;3.799;26.003;29.802;148;148;4.966109657069995
model0006.xml;2.965;24.003;26.968;121;121;4.486799169385939
model0007.xml;2.259;26.003;28.262;172;165;6.085910409737457
model0008.xml;2.666;24.002;26.668;155;155;5.812209389530524
model0009.xml;2.705;28.004;30.709000000000003;190;190;6.187111270311634
model0010.xml;3.239;24.003;27.242;139;139;5.102415388003817
