Version;Runtime pre Analysis in s;Runtime IncLing in s; Runtime total; Configurations; Newly Calculated Configurations; Efficiency
model0001.xml;0.18;34.004;34.184;239;239;6.991575005850691
model0002.xml;5.238;26.004;31.242;164;164;5.2493438320209975
model0003.xml;3.986;22.002;25.988;133;133;5.117746652301062
model0004.xml;3.096;28.003;31.099;188;188;6.045210456927875
model0005.xml;4.595;24.003;28.598;148;148;5.175187076019302
model0006.xml;3.551;20.003;23.554000000000002;121;121;5.137131697376241
model0007.xml;2.494;24.005;26.499;172;165;6.490810973999019
model0008.xml;3.199;22.003;25.201999999999998;155;155;6.15030553130704
model0009.xml;3.254;26.003;29.257;190;190;6.494172334825853
model0010.xml;3.683;20.003;23.686;139;139;5.868445495229249
