Version;Runtime pre Analysis in s;Runtime IncLing in s; Runtime total; Configurations; Newly Calculated Configurations; Efficiency
model0001.xml;0.205;34.015;34.22;239;239;6.984219754529515
model0002.xml;5.824;26.003;31.826999999999998;164;164;5.152857636597857
model0003.xml;3.258;22.003;25.261;133;133;5.265033054906773
model0004.xml;2.576;28.003;30.579;188;188;6.148010072271821
model0005.xml;3.375;24.003;27.378;148;148;5.40580027759515
model0006.xml;2.718;22.003;24.721;121;121;4.894624003883338
model0007.xml;2.345;26.003;28.348;172;165;6.067447438972767
model0008.xml;3.142;22.002;25.144;155;155;6.164492523067134
model0009.xml;2.693;26.003;28.696;190;190;6.6211318650683015
model0010.xml;2.998;20.003;23.001;139;139;6.043215512369027
