Version;Runtime pre Analysis in s;Runtime IncLing in s; Runtime total; Configurations; Newly Calculated Configurations; Efficiency
model0001.xml;0.181;34.03;34.211;239;239;6.986057116132239
model0002.xml;5.059;26.004;31.063000000000002;164;164;5.279593085020764
model0003.xml;3.174;22.003;25.177;133;133;5.2825991976804225
model0004.xml;2.228;28.003;30.231;188;188;6.2187820449207765
model0005.xml;4.085;26.003;30.088;148;148;4.918904546663121
model0006.xml;3.17;20.003;23.173000000000002;121;121;5.221594096577913
model0007.xml;2.208;22.003;24.211;172;165;7.104208830696791
model0008.xml;2.8;22.003;24.803;155;155;6.249244043059307
model0009.xml;2.593;26.003;28.596;190;190;6.644285914113862
model0010.xml;3.531;20.003;23.534;139;139;5.906348262088893
