Name;Duration;Conf;Efficiency 
model00001.xml;52.008;399;7.671896631287494
model00002.xml;2290.365;4560;1.990949040873398
model00003.xml;2348.456;4563;1.942978706009395
model00004.xml;2326.349;4550;1.9558544311279176
model00005.xml;2336.362;4546;1.9457601176530006
model00006.xml;2308.332;4542;1.9676545661542622
model00007.xml;28802.411;7543;0.26188779821244823
model00008.xml;3124.462;4975;1.5922741259135174
model00009.xml;3920.537;6392;1.6303888982555197
model00010.xml;3688.537;6245;1.6930831926045475
